,Date,market_value,balance,stock_owned,hedge_position,price,action,amount,paid_slippage,vol_est,options_delta,portfolio_delta,put_value,call_value
0,2023-01-18,17388.22659721786,25183.72809393845,1.6898150444030762,293.5071857109547,173.6919,buy,1.689815,0.7337679642773867,0.595428043,-16.865932334037524,-15.176117289634448,4046.2276461014767,4042.781036330066
1,2023-01-19,17120.49705890092,24890.483094194165,3.465130925178528,580.6682752475143,167.5747,buy,1.7753159,0.7437450653154553,0.626573884,-13.850641719100224,-10.385510793921696,4484.634107001284,3866.0202035394705
2,2023-01-20,17383.039133309645,24668.6824307708,4.733561992645264,844.0409655523777,178.3099,buy,1.2684311,0.5654345419922173,0.592122284,-20.044708618863865,-15.311146626218601,3839.1130721102245,4290.571190903309
3,2023-01-23,17022.79980877257,24482.582113820987,5.726654291152954,1098.623120501089,191.8438,buy,0.9930923,0.4762965007411241,0.593884586,-29.488349901870208,-23.761695610717254,3378.502984345985,5179.9024412035205
4,2023-01-24,16973.837756547542,24190.210351245925,7.2663456201553345,1399.2322181922198,192.5634,buy,1.5396913,0.7412204931580425,0.597343894,-30.017339431076294,-22.75099381092096,3372.8473511474094,5242.757461743195
5,2023-01-25,16568.81775613259,23811.329500348307,9.247899651527405,1786.168931974888,193.1432,buy,1.981554,0.9568092164802552,0.62725756,-31.119145898418303,-21.871246246890898,3552.120298159289,5476.5603780313195
6,2023-01-26,16923.362447784057,23226.943564204696,12.216819643974304,2418.087328951478,197.931,buy,2.96892,1.469103257562518,0.592693834,-33.29359754270343,-21.076777898729127,3160.949540410829,5560.718904961288
7,2023-01-27,16707.551621027626,22614.47768999999,15.240695118904114,3102.373037361443,203.5585,buy,3.0238755,1.5388388896587493,0.598089042,-36.79974222342319,-21.559047104519074,3025.1155709192944,5984.183535414511
8,2023-01-30,16960.297025520547,21923.378792194573,18.863298058509827,3612.961044008815,191.5339,buy,3.622603,1.7346281729353665,0.601858575,-29.33461807839648,-10.471320019886655,3411.443465556202,5164.59934512664
9,2023-01-31,17021.95994843832,21406.41030822507,21.52620494365692,4203.684659048199,195.2822,buy,2.662907,1.3000457873166797,0.593906688,-31.555187865340038,-10.028982921683117,3231.800954597365,5356.334064237581
10,2023-02-01,16763.879675645905,20773.205087627906,24.563729166984558,5142.070352526963,209.3359,buy,3.0375242,1.5896571676552296,0.593478616,-40.08696546233236,-15.5232362953478,2812.4730549701653,6338.9227095388
11,2023-02-02,16583.192257157636,20414.592537883946,26.231204509735107,5691.974644578696,216.9925,buy,1.6674753,0.9045741082794965,0.595200989,-44.315943542464396,-18.08473903272929,2617.359705542637,6906.0152197623665
12,2023-02-03,16708.313360782624,19853.153725132557,28.90576696395874,6096.376562687111,210.9052,buy,2.6745625,1.4101978233013153,0.597227146,-40.98442552341632,-12.07865855945758,2782.3731192897653,6458.843807747278
13,2023-02-06,16806.752306498813,19086.838221242473,32.55069541931152,6861.533606122398,210.7953,buy,3.6449285,1.9208344680615665,0.591492992,-40.889514609916915,-8.338819190605392,2739.797171860033,6401.822349006026
14,2023-02-07,16548.079033725742,18713.380562210434,34.24858510494232,7590.527616242409,221.6304,buy,1.6978897,0.9407599254555703,0.598730564,-46.735005179365714,-12.486420074423393,2506.8750822889847,7248.954062438115
15,2023-02-08,16628.36940010134,18128.057597697978,36.89587724208832,8189.04733305695,221.9502,buy,2.6472921,1.468917548244953,0.593751078,-46.93165249347397,-10.035775251385651,2459.0667166613694,7229.668813992218
16,2023-02-09,16639.051832749195,17571.50593916495,39.39846432209015,8796.479369807339,223.2696,buy,2.502587,1.3968790407929421,0.592847955,-47.62078608364004,-8.222321761549892,2414.9244738340067,7314.009002389086
17,2023-02-10,16766.12396781081,17077.391987745792,41.73367464542389,8870.680347420752,212.5545,buy,2.3352103,1.2408986566776037,0.593364798,-41.87628636331215,-0.14261171788825777,2678.916046835022,6503.032320520714
18,2023-02-13,16679.96761386461,16746.4776074295,43.26487982273102,9422.31638404199,217.7821,buy,1.5312052,0.8336726976120472,0.598558644,-44.744622559681886,-1.4797427369508682,2572.704522510162,6916.121855096716
19,2023-02-14,16648.729011135638,16496.625810938447,44.364773869514465,10186.453760902834,229.6068,buy,1.099894,0.631357881052494,0.593793433,-50.78899795801192,-6.4242240884974535,2255.9614277920773,7778.389132913566
20,2023-02-15,16650.089232775063,16199.310469819044,45.682528614997864,10394.4974912408,227.5377,buy,1.3177547,0.7495972098784447,0.596906413,-49.7626836363514,-4.080155021353534,2315.8306685652433,7627.888059719538
21,2023-02-16,16793.895620281673,15707.961264834668,47.925741314888,10539.886540859747,219.9212,buy,2.2432127,1.233325072037697,0.591674873,-45.923592405383715,2.0021489095042853,2453.5028974319944,7000.449287980748
22,2023-02-17,16855.59514032311,15711.077923815787,47.925741314888,10245.751888687884,213.7839,buy,3.0181816,1.233325072037697,0.589306122,-42.55936914398927,5.366372170898728,2585.739984505973,6515.494687674591
23,2023-02-21,16694.040435785704,15714.195201181623,47.925741314888,9894.614359796095,206.4572,buy,1.7447997,1.233325072037697,0.601866729,-38.346285593508924,9.579455721379077,2860.573398157208,6054.195727034807
24,2023-02-22,16753.40762179921,15717.313097054874,47.925741314888,9942.041673401307,207.4468,buy,1.9210719,1.233325072037697,0.599223517,-38.9044223615985,9.021318953289502,2808.413940558785,6097.533208098182
25,2023-02-23,16623.550071850997,15720.431611558257,47.925741314888,11336.052918453324,236.5337,buy,1.8666551,1.233325072037697,0.601968824,-54.01099150572844,-6.085250190840441,2119.2944695714514,8313.639988589133
26,2023-02-24,16738.615327995773,15219.037878047628,50.087902665138245,11658.22981998532,232.7554,buy,2.1621614,1.2581368248550893,0.597461972,-52.36493456813483,-2.2770319029965833,2162.800643430539,7975.851726606634
27,2023-02-27,16849.71606518997,14484.459979665877,53.220062613487244,12501.626876183653,234.9044,buy,3.13216,1.8393953834273817,0.588954121,-53.539174604175926,-0.31911199068868257,2055.942415390664,8080.428375268899
28,2023-02-28,16809.91192068116,14113.566654090147,54.826724886894226,12722.854022335661,232.0557,buy,1.6066623,0.9320878462976218,0.594560399,-52.11853029186514,2.7081945950290844,2145.1793033784716,7881.329452366178
29,2023-03-01,16792.70279726637,13863.701422671124,55.937610268592834,12691.013142517804,226.878,buy,1.1108854,0.6300886340725422,0.597787044,-49.556330092306666,6.381280176286168,2273.5490587772497,7488.462709145309
30,2023-03-02,16853.23918167959,13866.452157080384,55.937610268592834,13035.437790224612,233.0353,buy,2.325266,0.6300886340725422,0.594654911,-52.62732206805941,3.310288200533428,2110.7371508712854,7937.913614754122
31,2023-03-03,16845.47667788926,13869.203437270282,55.937610268592834,13357.492987585008,238.7927,buy,1.6983371,0.6300886340725422,0.595642534,-55.29716347145745,0.6404467971353824,1990.8855787852517,8390.334168180781
32,2023-03-06,16862.260137569545,13499.642124528591,57.515056014060974,13541.011200625635,235.4342,buy,1.5774457,0.9284616928192378,0.596712867,-53.766902385311994,3.7481536287489803,2059.1315804075293,8119.261607177153
33,2023-03-07,16915.076075830104,13502.320624950124,57.515056014060974,13390.390771936012,232.8154,buy,1.8882823,0.9284616928192378,0.594217475,-52.59769314986415,4.917362864196825,2091.4272725937294,7886.208048462302
34,2023-03-08,16936.75032469242,13504.999656820153,57.515056014060974,13903.85643450154,241.7429,buy,2.0139968,0.9284616928192378,0.59281933,-56.761587881122914,0.7534681329380604,1894.0224650367427,8578.08330159253
35,2023-03-09,16928.09710145174,13215.522101304492,58.758909583091736,13766.91284487952,234.2949,buy,1.2438536,0.7285713689267636,0.596352993,-53.31349180562958,5.445417777462154,2059.2738180187935,7995.064026713476
36,2023-03-10,16959.07223072406,13218.144228705545,58.758909583091736,13490.240643216574,229.5863,buy,0.8775101,0.7285713689267636,0.594828373,-51.07510005938377,7.683809523707964,2143.926874524724,7605.385766673335
